내용,1,2,3,4,답
Poor sales forced the company to____________ bankruptcy.  ,say ,state,restore ,declare,declare
"_________  major changes in the political situation in most parts of Eastern Europe, there are still many problems that need to be overcome. ",In spite of ,In light of ,Instead of ,In case of,In spite of 
_________  of harmful substances into the atmosphere is causing the protective ozone layer to become depleted. ,Prediction ,Preservation ,Trepidation ,Precipitation,Precipitation
I will_________ all the proposals made at the last council meeting before I make a final decision on the matter. ,scrutinize ,look under ,look for ,emphasize,scrutinize 
David was_________ with his job in Chicago so he asked for a transfer to the Los Angeles office.  ,filled ,fed up,caught up ,satisfied,fed up
"_________  his lifetime, Frederick Jones was awarded more than sixty patents for his inventions.  ",While ,When,For  ,During,During
Automobile manufactures are now____________  air bags in many passenger car models. ,buying ,inventing,deciding ,installing ,installing 
Mr. Harper was a very_________ and talented member of the team because he always had good ideas and was willing to persevere even when times were rough. ,dedication ,dedicated ,decadent ,demanding,dedicated 
I will try to be there_________ 6 P.M. at the latest. ,on ,near,by ,upon,by 
There_________ quite a few robberies around here just recently.___,was  ,were,has been ,have been,have been
"The new concert hall has been specially designed to_________ large parties of up to 500 people at a time for all kinds of events, including executive functions. ",acclimatize ,include ,accommodate ,relate,accommodate 
We will have to_________ the necessary resources towards this project to make sure that it is a resounding success.___ ,allocate ,mediate ,isolate ,create,allocate 
"Please_________ the application for employment to my senior manager as soon as possible, so that we can come to a decision by next week. ",forward ,forwarding ,hand forward ,pass over,forward 
The new law will come into__________________  as soon as congress has signed the amendments to the bill. ,effort ,effect ,affection ,affectation,effect 
